Latitude,Longitude,Altitude,Vertical Speed,MTE_Value,RA
  32.285746,-110.713993, 6525, -128,  32.285746, RA: Climb
  32.285746,-110.714890, 6525,  192,  32.285746, RA: Climb
  32.285751,-110.715326, 6525,  192,  32.285751, RA: Climb
  32.285746,-110.715787, 6525,    0,  32.285746, RA: Climb
  32.285746,-110.716179, 6550,  256,  32.285746, RA: Climb
  32.285751,-110.716589, 6550,  256,  32.285751, RA: Climb
  32.285751,-110.717523, 6550,  192,  32.285751, RA: Climb
  32.285751,-110.717523, 6550,  192,  32.285751, RA: Climb
  32.285751,-110.718402, 6550,  448,  32.285751, RA: Climb
  32.285751,-110.718951, 6550,  -64,  32.285751, RA: Climb
  32.285746,-110.719374, 6550,  -64,  32.285746, RA: Climb
  32.285751,-110.719830, 6550,  320,  32.285751, RA: Climb
  32.285751,-110.719830, 6550,  256,  32.285751, RA: Climb
  32.285751,-110.720215, 6550,  256,  32.285751, RA: Climb
  32.285792,-110.721000, 6550,    0,  32.285792, RA: Climb
  32.285792,-110.721000, 6550,    0,  32.285792, RA: Climb
  32.285797,-110.721423, 6550,  128,  32.285797, RA: Climb
  32.285797,-110.722302, 6550, -192,  32.285797, RA: Climb
  32.285797,-110.723566, 6550,  128,  32.285797, RA: Climb
  32.285797,-110.723566, 6550,   64,  32.285797, RA: Climb
  32.285797,-110.724115, 6550,    0,  32.285797, RA: Climb
  32.285843,-110.724609, 6550, -256,  32.285843, RA: Climb
  32.285839,-110.725091, 6550, -320,  32.285839, RA: Climb
  32.285886,-110.726100, 6550, -320,  32.285886, RA: Climb
  32.285886,-110.726493, 6550,  512,  32.285886, RA: Climb
  32.285934,-110.727466, 6550, -192,  32.285934, RA: Climb
  32.285932,-110.727894, 6550,  -64,  32.285932, RA: Climb
  32.285979,-110.728735, 6550,  256,  32.285979, RA: Climb
  32.286072,-110.729553, 6550, -192,  32.286072, RA: Climb
  32.286072,-110.729883, 6550,  -64,  32.286072, RA: Climb
  32.286163,-110.730927, 6575,  320,  32.286163, RA: Climb
  32.286209,-110.731256, 6575,  320,  32.286209, RA: Climb
  32.286209,-110.731256, 6575,  128,  32.286209, RA: Climb
  32.286258,-110.731706, 6575,  128,  32.286258, RA: Climb
  32.286301,-110.732135, 6575,  448,  32.286301, RA: Climb
  32.286346,-110.732684, 6575,    0,  32.286346, RA: Climb
  32.286398,-110.733107, 6575,    0,  32.286398, RA: Climb
  32.286484,-110.733508, 6575,  192,  32.286484, RA: Climb
  32.286484,-110.733508, 6575,  192,  32.286484, RA: Climb
  32.286530,-110.733893, 6575,  -64,  32.286530, RA: Climb
  32.286630,-110.734789, 6575, -128,  32.286630, RA: Climb
  32.286770,-110.735685, 6575,  384,  32.286770, RA: Climb
  32.286896,-110.736584, 6575, -192,  32.286896, RA: Climb
  32.286987,-110.736969, 6575,    0,  32.286987, RA: Climb
  32.287049,-110.737367, 6575, -384,  32.287049, RA: Climb
  32.287096,-110.737703, 6575, -384,  32.287096, RA: Climb
  32.287170,-110.738177, 6575, -128,  32.287170, RA: Climb
  32.287308,-110.739001, 6575,   64,  32.287308, RA: Climb
  32.287399,-110.739716, 6575,  -64,  32.287399, RA: Climb
  32.287561,-110.740674, 6575,    0,  32.287561, RA: Climb
  32.287655,-110.741010, 6575,    0,  32.287655, RA: Climb
  32.287766,-110.741748, 6550, -768,  32.287766, RA: Climb
  32.287887,-110.742188, 6575,   64,  32.287887, RA: Climb
  32.287949,-110.742627, 6575,    0,  32.287949, RA: Climb
  32.288260,-110.743757, 6550, -384,  32.288260, RA: Climb
  32.288260,-110.743757, 6550, -384,  32.288260, RA: Climb
  32.288492,-110.744598, 6550, -320,  32.288492, RA: Climb
  32.288727,-110.745374, 6550, -448,  32.288727, Clear of Conflict
  32.289963,-110.748505, 6525, -576,  32.289963, RA: Climb
  32.290308,-110.749194, 6500, -512,  32.290308, RA: Climb
  32.290512,-110.749548, 6500,  128,  32.290512, RA: Climb
  32.290970,-110.750262, 6500,    0,  32.290970, RA: Climb
  32.291379,-110.750876, 6500, -384,  32.291379, RA: Climb
  32.291611,-110.751100, 6500, -256,  32.291611, RA: Climb
  32.292068,-110.751691, 6500,  320,  32.292068, Clear of Conflict
  32.294730,-110.754127, 6525,  320,  32.294730, Clear of Conflict
  32.298203,-110.755756, 6550, -256,  32.298203, Clear of Conflict
  32.302963,-110.756305, 6500, -832,  32.302963, Clear of Conflict
           ,           ,     ,     ,           , Clear of Conflict
  47.513672,-122.289093, 1100, 3264,  47.513672, RA: Maintain vertical Speed
  47.512802,-122.288475, 1150, 2880,  47.512802, RA: Maintain vertical Speed
  47.511447,-122.287480, 1225, 2624,  47.511447, RA: Maintain vertical Speed
  47.511017,-122.287102, 1250, 2432,  47.511017, RA: Maintain vertical Speed
