YEAR,MONTH_NUM,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,FLT_DATE
2014,1,343.765833333333,42.2958333333333,4.55,20.61,6.075,2014-01-01
2014,1,30.1333333333333,1.04083333333333,0.0283333333333333,0.353333333333333,0.116666666666667,2014-01-01
2014,1,61.37,3.78,0.1025,1.27833333333333,0.119166666666667,2014-01-01
2014,1,342.625,30.1083333333333,4.88583333333333,16.6875,6.0575,2014-01-01
2014,1,395.5325,11.0733333333333,2.75666666666667,5.27916666666667,2.23833333333333,2014-01-01
2014,1,275.188333333333,24.2533333333333,2.0075,5.77,0.483333333333333,2014-01-01
2014,1,79.9666666666667,4.8625,1.7825,2.7275,1.96583333333333,2014-01-01
2014,1,269.8075,22.1133333333333,0.860833333333333,10.83,0.935,2014-01-01
2014,1,280.176666666667,18.9716666666667,3.05583333333333,7.51416666666667,1.70916666666667,2014-01-01
2014,1,1563.04916666667,171.269166666667,37.9808333333333,101.260833333333,33.7341666666667,2014-01-01
2014,1,1949.92666666667,245.996666666667,39.6583333333333,84.2775,36.7125,2014-01-01
2014,1,3173.9925,383.7175,52.5066666666667,160.501666666667,43.5816666666667,2014-01-01
2014,1,109.93,5.19416666666667,0.676666666666667,1.76,0.983333333333333,2014-01-01
2014,1,2071.465,188.136666666667,22.1583333333333,69.8566666666667,22.1983333333333,2014-01-01
2014,1,1426.7425,82.1241666666667,19.5466666666667,46.365,9.00166666666667,2014-01-01
2014,1,121.535833333333,2.365,0.4225,0.645833333333333,0.6025,2014-01-01
2014,1,608.505,25.69,1.48666666666667,10.1275,1.84416666666667,2014-01-01
2014,1,280.83,23.7841666666667,1.26916666666667,9.64,2.05083333333333,2014-01-01
2014,1,357.764166666667,15.8341666666667,1.2625,3.815,2.37916666666667,2014-01-01
2014,1,521.700833333333,19.1516666666667,2.58583333333333,8.9525,3.10416666666667,2014-01-01
2014,1,116.879166666667,5.335,0.445,2.36416666666667,0.526666666666667,2014-01-01
2014,1,152.219166666667,16.5908333333333,1.21083333333333,7.92,1.5925,2014-01-01
2014,1,119.685,13.8341666666667,2.06833333333333,6.09916666666667,4.67833333333333,2014-01-01
2014,1,20.5016666666667,0.401666666666667,0.0808333333333333,0.21,0.055,2014-01-01
2014,1,129.34,4.19333333333333,0.179166666666667,1.58916666666667,1.28,2014-01-01
2014,1,1023.95583333333,118.895833333333,26.7475,68.7716666666667,17.8441666666667,2014-01-01
2014,1,25.2791666666667,0.760833333333333,0.0241666666666667,0.231666666666667,0.0116666666666667,2014-01-01
2014,1,1599.79166666667,195.4,71.1216666666667,85.4925,57.205,2014-01-01
2014,1,611.340833333333,37.965,3.93416666666667,11.0775,2.71,2014-01-01
2014,1,260.015,12.1816666666667,1.83,6.85166666666667,1.96583333333333,2014-01-01
2014,1,77.5075,3.01166666666667,0.0766666666666667,1.34416666666667,0.356666666666667,2014-01-01
2014,1,583.735833333333,31.175,3.37833333333333,14.2683333333333,4.47833333333333,2014-01-01
2014,1,468.465833333333,33.0625,0.808333333333333,10.6575,2.11416666666667,2014-01-01
2014,1,249.399166666667,16.8,0.534166666666667,7.21166666666667,0.905833333333333,2014-01-01
2014,1,110.9675,6.61166666666667,0.1425,2.09416666666667,0.594166666666667,2014-01-01
2014,1,408.323333333333,46.08,12.215,28.2558333333333,8.09083333333333,2014-01-01
2014,1,59.52,5.14583333333333,0.465833333333333,3.22416666666667,0.539166666666667,2014-01-01
2014,1,647.163333333333,29.6208333333333,1.02333333333333,9.9625,3.75,2014-01-01
2014,1,478.875833333333,66.305,8.79166666666667,36.6758333333333,9.62416666666667,2014-01-02
2014,1,35.2583333333333,0.8225,0.0391666666666667,0.309166666666667,0.08,2014-01-02
2014,1,76.7666666666667,7.31833333333333,0.1025,2.14916666666667,0.1225,2014-01-02
2014,1,515.935,64.5041666666667,12.4225,34.9416666666667,11.4958333333333,2014-01-02
2014,1,604.223333333333,19.9541666666667,5.5175,9.54916666666667,5.32666666666667,2014-01-02
2014,1,334.015833333333,32.5633333333333,3.22833333333333,7.67083333333333,1.71416666666667,2014-01-02
2014,1,124.749166666667,10.62,3.94583333333333,5.6525,4.55,2014-01-02
2014,1,343.7,34.9858333333333,1.68833333333333,17.0808333333333,1.46166666666667,2014-01-02
2014,1,334.425833333333,26.5933333333333,3.63,11.1658333333333,2.46833333333333,2014-01-02
2014,1,2241.5875,307.995833333333,78.715,180.7525,68.8625,2014-01-02
2014,1,2246.54416666667,341.325,44.6833333333333,102.753333333333,64.6416666666667,2014-01-02
2014,1,4012.8025,544.810833333333,79.48,237.075,76.8941666666667,2014-01-02
2014,1,150.113333333333,8.22333333333333,1.035,2.57416666666667,1.42,2014-01-02
2014,1,2535.15833333333,249.4075,32.2608333333333,96.1175,36.78,2014-01-02
2014,1,1877.78166666667,130.785,33.0475,73.2691666666667,20.4441666666667,2014-01-02
2014,1,179.604166666667,4.33916666666667,0.830833333333333,1.26333333333333,1.30333333333333,2014-01-02
2014,1,750.200833333333,39.41,2.72333333333333,13.9916666666667,2.83583333333333,2014-01-02
2014,1,413.445,46.8375,2.57583333333333,19.8725,3.91833333333333,2014-01-02
2014,1,454.929166666667,26.0116666666667,1.85833333333333,6.235,4.8475,2014-01-02
2014,1,789.760833333333,32.1516666666667,5.58666666666667,16.4408333333333,5.6175,2014-01-02
2014,1,171.100833333333,9.76166666666667,0.984166666666667,4.59583333333333,0.941666666666667,2014-01-02
